name,cap_tracker_2025_link,display_name
STARR EMERY,
STEPHANIE MONCADA,
STEVE FITZPATRICK,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Steve-Fitzpatrick/
STEVEN C KELLY,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Steven-Kelly/
STEVEN DELISLE,
STEVEN GALLOWAY,
SUE VINTON,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Sue-Vinton/
SUZZANN NORDWICK,
TAMMIE MILLIGAN,
TED MORGAN,
TERRY FALK,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Terry-Falk/
THERESA MANZELLA,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Theresa-Manzella/
THOMAS CARLSON,
THOMAS JENKINS,
THOMAS MAHON,
TIM GARRISON,
TOM FRANCE,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Tom-France/
TOM MCGILLVRAY,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Tom-McGillvray/
TOM MILLETT,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Tom-Millett/
TONY BROCKMAN,
TONY TEZAK,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Tony-Tezak/
TRACY A SHARP,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Tracy-Sharp/
WAYNE RUSK,
WAYNE STAHL,
ZACK WIRTH,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Zack-Wirth/
ZOOEY ZEPHYR,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Zooey-Zephyr/
LINK NEIMARK,
BRIDGET SMITH,
LINDA AUCH,
KATHLEEN GILLULY,
CHARLES HEADLEY,
ELIZABETH STORY,
COLLEEN HINDS,
TYSON T RUNNING WOLF,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Tyson-Running-Wolf/
KEVIN LEATHERBARROW,
JAMES RICKLEY,
BLAKE BORST,
VALERIE MOORE,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Valerie-Moore/
BOB AUCH,
JOSH VISOCAN,
COLLEEN SCHMELING,
DEAN WILLIAMSON,
MARC GREENDORFER,
JOSHUA A SECKINGER,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Joshua-Seckinger/
JOLENE  CRUM,
NANCY JANE LIEN,
EMILY HARRIS,
DUSTIN SCOTT,
PETE ELVERUM,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Pete-Elverum/
WES FEIST,
MICHELE R CREPEAU,
GREGG HUNTER,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Gregg-Hunter/
PERRI A JACOBS,
RAE PEPPERS,
VINCE RICCI,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Vince-Ricci/
TYLER ROGERS,
NEAL GANSER,
JIM KEPHART,
BRUCE SHULTZ,
GREG L GUTHRIE,
ABIGAIL MAKI,
VELVET PHILLIPSSULLIVAN,
ARTHUR FRETHEIM,
JENNIFER ALLEN,
THEDIS CROWE,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Thedis-Crowe/
ROLLAND ELY HEAGY,
LEONARD BATES,
JOSHUA M ROSALES,
JAMES G WHITAKER,
PETE ANDERSON,
JOHN H  PROUD,
ANNIE LEATHERBARROW,
KEVIN TAYLOR,
KIM KREIDER,
STAN TAYLOR,
ANDREA PAYNE,
KERRI SEEKINS-CROWE,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Kerri-Seekins-Crowe/
KASSIDY OLSON,
KIM GILLAN,
MARY HORMAN,
LISA BENNETT,
JERRY JOHNSON,
OWEN LANG,
JOE FLYNN,
ESTHER FISHBAUGH,
MARLA DAVIS,
MIKE KLAKKEN,
ZACH TOMASZEWSKI,
TRENIN BAYLESS,
GLENN A LAMBERT,
LUKE MUSZKIEWICZ,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Luke-Muszkiewicz/
LAURA MAE JACKSON,
ROBERT WALLACE,
BARBARA W STARMER,
NICK KNOWLES,
LISA VERLANIC FOWLER,
JACE BEARD,
RYAN DARLING,
CHRISTOPHER PAUL BUCKLES,
ANGELA KENNEDY,
CRAIG PABLO,
GREGORY FRAZER,
ANNAMARIE WHITE,
JACINDA MORIGEAU,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Jacinda-Morigeau/
ERICA SIATE,
STEVE PAUGH,
JOANNE MORROW,
BARRY OLSON,
ELAINE UTTERBACK  MITCHELL,
JAMES COOMBS,
MELISSA NIKOLAKAKOS,https://projects.montanafreepress.org/capitol-tracker-2025/lawmakers/Melissa-Nikolakakos/
JAMES OSTERMAN,
JOSH DENULLY,
JASON ULRICH,
DA WALLOWING BULL,
MARK LEWIS,
H STEIGER,
ANDY JOHNSON,
ELENA GAGLIANO,
JON JACKSON,
JEFF KEMPKA,
KENNETH ALLEN,
DELANEY MALMSTEN,
ROBERT LABAIR,
KELLEY DURBIN-WILLIAMS,
JANNA HAFER,
BRAD SIMONIS,
DAVID PASSIERI,
ADAM S HENSON,
STEVE GUNDERSON,
JONATHAN RUSSELL JAMESON,
